jour;Ensilage de CIVE;Ensilage de Mais;Fumier Bovin;Graisse de Flottation;Lisier Porc;Mat. Stercoaire
0;0;0;0;0;0;0
1;;;;;;
2;;;;;;
3;;;;;;
4;;;;;;
5;300,3;175;61,6;450;44,64;205,8
6;;;;;;
7;;;;;;
8;;;;;;
9;;;;;;
10;330;245;121;450;80,6;252,84
11;;;;;;
12;;;;;;
13;;;;;;
14;;;;;;
15;330;290,5;176;450;104,16;273,42
16;;;;;;
17;;;;;;
18;;;;;;
19;;;;;;
20;330;322;202,4;450;116,56;285,18
21;;;;;;
22;;;;;;
23;;;;;;
24;;;;;;
25;330;350;215,6;450;120,28;294
26;;;;;;
27;;;;;;
28;;;;;;
29;;;;;;
30;330;350;220;450;122,76;294
31;;;;;;
32;;;;;;
33;;;;;;
34;;;;;;
35;330;350;220;450;124;294
36;;;;;;
37;;;;;;
38;;;;;;
39;;;;;;
40;;;;;;
41;;;;;;
42;;;;;;
43;;;;;;
44;;;;;;
45;;;;;;
46;;;;;;
47;;;;;;
48;;;;;;
49;;;;;;
50;;;;;;
51;;;;;;
52;;;;;;
53;;;;;;
54;;;;;;
55;;;;;;
56;;;;;;
57;;;;;;
58;;;;;;
59;;;;;;
60;330;350;220;650;124;294
